date,region,item_code,item_name,value,transformation
2026-04-01,national,MEMO_GOODS_M01_03,Repayment of external debt in the form of goods (forecast) | within 1-3 months,2931.177237,level
2026-01-01,national,MEMO_GOODS_M04_06,Repayment of external debt in the form of goods (forecast) | within 4-6 months,3006.832435,level
2026-04-01,national,MEMO_GOODS_M04_06,Repayment of external debt in the form of goods (forecast) | within 4-6 months,2579.376657,level
2026-01-01,national,MEMO_GOODS_M07_09,Repayment of external debt in the form of goods (forecast) | within 7-9 months,2844.677565,level
2026-04-01,national,MEMO_GOODS_M07_09,Repayment of external debt in the form of goods (forecast) | within 7-9 months,2686.945347,level
2026-01-01,national,MEMO_GOODS_M10_12,Repayment of external debt in the form of goods (forecast) | within 10-12 months,2952.246255,level
2026-04-01,national,MEMO_GOODS_M10_12,Repayment of external debt in the form of goods (forecast) | within 10-12 months,2871.908463,level
2026-01-01,national,MEMO_GOODS_M13_15,Repayment of external debt in the form of goods (forecast) | within 13-15 months,3159.283788,level
2026-04-01,national,MEMO_GOODS_M13_15,Repayment of external debt in the form of goods (forecast) | within 13-15 months,2712.701303,level
2026-01-01,national,MEMO_GOODS_M16_18,Repayment of external debt in the form of goods (forecast) | within 16-18 months,3000.076628,level
2026-04-01,national,MEMO_GOODS_M16_18,Repayment of external debt in the form of goods (forecast) | within 16-18 months,2725.752413,level
2026-01-01,national,MEMO_GOODS_M19_21,Repayment of external debt in the form of goods (forecast) | within 19-21 months,3013.127738,level
2026-04-01,national,MEMO_GOODS_M19_21,Repayment of external debt in the form of goods (forecast) | within 19-21 months,2710.369913,level
2026-01-01,national,MEMO_GOODS_M22_24,Repayment of external debt in the form of goods (forecast) | within 22-24 months,2997.745238,level
2026-04-01,national,MEMO_GOODS_M22_24,Repayment of external debt in the form of goods (forecast) | within 22-24 months,2597.302361,level
2026-01-01,national,MEMO_GOODS_NO_INFO,Repayment of external debt in the form of goods (forecast) | no information,0.0,level
2026-04-01,national,MEMO_GOODS_NO_INFO,Repayment of external debt in the form of goods (forecast) | no information,0.0,level
2026-01-01,national,MEMO_GOODS_ON_DEMAND,Repayment of external debt in the form of goods (forecast) | on demand,0.0,level
2026-04-01,national,MEMO_GOODS_ON_DEMAND,Repayment of external debt in the form of goods (forecast) | on demand,0.0,level
2026-01-01,national,OTHER_INTEREST_AFTER_2Y,Other sectors | Interests (forecast) | after 2 years,0.0,level
2026-04-01,national,OTHER_INTEREST_AFTER_2Y,Other sectors | Interests (forecast) | after 2 years,0.0,level
2026-01-01,national,OTHER_INTEREST_M01_03,Other sectors | Interests (forecast) | within 1-3 months,545.808334,level
2026-04-01,national,OTHER_INTEREST_M01_03,Other sectors | Interests (forecast) | within 1-3 months,534.935252,level
2026-01-01,national,OTHER_INTEREST_M04_06,Other sectors | Interests (forecast) | within 4-6 months,532.639748,level
2026-04-01,national,OTHER_INTEREST_M04_06,Other sectors | Interests (forecast) | within 4-6 months,519.673346,level
2026-01-01,national,OTHER_INTEREST_M07_09,Other sectors | Interests (forecast) | within 7-9 months,516.580609,level
2026-04-01,national,OTHER_INTEREST_M07_09,Other sectors | Interests (forecast) | within 7-9 months,494.673849,level
2026-01-01,national,OTHER_INTEREST_M10_12,Other sectors | Interests (forecast) | within 10-12 months,502.390295,level
2026-04-01,national,OTHER_INTEREST_M10_12,Other sectors | Interests (forecast) | within 10-12 months,480.292415,level
2026-01-01,national,OTHER_INTEREST_M13_15,Other sectors | Interests (forecast) | within 13-15 months,474.79113,level
2026-04-01,national,OTHER_INTEREST_M13_15,Other sectors | Interests (forecast) | within 13-15 months,455.667387,level
2026-01-01,national,OTHER_INTEREST_M16_18,Other sectors | Interests (forecast) | within 16-18 months,466.831997,level
2026-04-01,national,OTHER_INTEREST_M16_18,Other sectors | Interests (forecast) | within 16-18 months,448.34944,level
2026-01-01,national,OTHER_INTEREST_M19_21,Other sectors | Interests (forecast) | within 19-21 months,446.611841,level
2026-04-01,national,OTHER_INTEREST_M19_21,Other sectors | Interests (forecast) | within 19-21 months,427.910313,level
2026-01-01,national,OTHER_INTEREST_M22_24,Other sectors | Interests (forecast) | within 22-24 months,431.995998,level
2026-04-01,national,OTHER_INTEREST_M22_24,Other sectors | Interests (forecast) | within 22-24 months,419.928575,level
2026-01-01,national,OTHER_INTEREST_NO_INFO,Other sectors | Interests (forecast) | no information,0.0,level
