scale,lambda,mu,log_ml,sample
2.000,1.000,100.000,-744.177,2016Q1
2.000,1.500,0.500,-745.489,2016Q1
2.000,1.500,1.000,-746.214,2016Q1
2.000,1.500,2.000,-746.771,2016Q1
2.000,1.500,5.000,-746.151,2016Q1
2.000,1.500,10.000,-747.412,2016Q1
2.000,1.500,25.000,-753.781,2016Q1
2.000,1.500,100.000,-764.575,2016Q1
3.000,0.050,0.500,-760.966,2016Q1
3.000,0.050,1.000,-760.037,2016Q1
3.000,0.050,2.000,-758.661,2016Q1
3.000,0.050,5.000,-756.577,2016Q1
3.000,0.050,10.000,-755.311,2016Q1
3.000,0.050,25.000,-754.518,2016Q1
3.000,0.050,100.000,-754.153,2016Q1
3.000,0.100,0.500,-757.152,2016Q1
3.000,0.100,1.000,-754.807,2016Q1
3.000,0.100,2.000,-751.983,2016Q1
3.000,0.100,5.000,-746.847,2016Q1
3.000,0.100,10.000,-743.462,2016Q1
3.000,0.100,25.000,-741.341,2016Q1
3.000,0.100,100.000,-740.235,2016Q1
3.000,0.150,0.500,-753.870,2016Q1
3.000,0.150,1.000,-750.163,2016Q1
3.000,0.150,2.000,-746.530,2016Q1
3.000,0.150,5.000,-739.872,2016Q1
3.000,0.150,10.000,-735.094,2016Q1
3.000,0.150,25.000,-731.810,2016Q1
3.000,0.150,100.000,-730.301,2016Q1
3.000,0.200,0.500,-750.747,2016Q1
3.000,0.200,1.000,-746.197,2016Q1
3.000,0.200,2.000,-742.020,2016Q1
3.000,0.200,5.000,-734.863,2016Q1
3.000,0.200,10.000,-729.573,2016Q1
3.000,0.200,25.000,-725.701,2016Q1
3.000,0.200,100.000,-724.129,2016Q1
3.000,0.300,0.500,-744.978,2016Q1
3.000,0.300,1.000,-740.025,2016Q1
3.000,0.300,2.000,-735.415,2016Q1
3.000,0.300,5.000,-728.261,2016Q1
3.000,0.300,10.000,-723.235,2016Q1
3.000,0.300,25.000,-719.609,2016Q1
3.000,0.300,100.000,-718.589,2016Q1
3.000,0.500,0.500,-736.969,2016Q1
3.000,0.500,1.000,-733.080,2016Q1
3.000,0.500,2.000,-729.116,2016Q1
3.000,0.500,5.000,-722.981,2016Q1
3.000,0.500,10.000,-719.493,2016Q1
3.000,0.500,25.000,-718.174,2016Q1
3.000,0.500,100.000,-719.399,2016Q1
3.000,0.750,0.500,-733.276,2016Q1
3.000,0.750,1.000,-730.962,2016Q1
3.000,0.750,2.000,-728.332,2016Q1
